row_id,dataset,attack_type,victim_model,similarity
0,lfw_pairs,impersonation_attack,ArcFace,0.5405241879539863
32,lfw_pairs,impersonation_attack,ArcFace,0.4259664812816977
48,lfw_pairs,impersonation_attack,ArcFace,0.4613496864352543
57,lfw_pairs,impersonation_attack,ArcFace,0.4367210710230421
60,lfw_pairs,impersonation_attack,ArcFace,0.6478608753234427
2,celeba_pairs,impersonation_attack,ArcFace,0.716022169751484
8,celeba_pairs,impersonation_attack,ArcFace,0.6689629480837211
12,celeba_pairs,impersonation_attack,ArcFace,0.5902378742074837
26,celeba_pairs,impersonation_attack,ArcFace,0.38586426398725
34,celeba_pairs,impersonation_attack,ArcFace,0.6524257863592892
3,vggface2_pairs,impersonation_attack,ArcFace,0.7532853985878138
5,vggface2_pairs,impersonation_attack,ArcFace,0.5056539826883909
17,vggface2_pairs,impersonation_attack,ArcFace,0.756601047451727
19,vggface2_pairs,impersonation_attack,ArcFace,0.5746120457475563
21,vggface2_pairs,impersonation_attack,ArcFace,0.5431074558605196
6,lfw_pairs,dodging_attack,ArcFace,0.0605639196021848
9,lfw_pairs,dodging_attack,ArcFace,0.22639614066573052
15,lfw_pairs,dodging_attack,ArcFace,-0.018549023712945527
16,lfw_pairs,dodging_attack,ArcFace,0.045583140747548836
23,lfw_pairs,dodging_attack,ArcFace,0.12062095014080032
18,celeba_pairs,dodging_attack,ArcFace,0.08075705502057
27,celeba_pairs,dodging_attack,ArcFace,0.21284827777766074
28,celeba_pairs,dodging_attack,ArcFace,0.08878553154409632
30,celeba_pairs,dodging_attack,ArcFace,-0.1156149431792817
33,celeba_pairs,dodging_attack,ArcFace,0.21585628479302027
1,vggface2_pairs,dodging_attack,ArcFace,-0.12117437147346706
4,vggface2_pairs,dodging_attack,ArcFace,-0.22384439741346562
7,vggface2_pairs,dodging_attack,ArcFace,0.02009196655483639
10,vggface2_pairs,dodging_attack,ArcFace,0.3295997911140854
11,vggface2_pairs,dodging_attack,ArcFace,-0.008700091842853228
0,lfw_pairs,impersonation_attack,Facenet512,0.5712249657822146
32,lfw_pairs,impersonation_attack,Facenet512,0.4529000016268677
48,lfw_pairs,impersonation_attack,Facenet512,-0.027031175190785052
57,lfw_pairs,impersonation_attack,Facenet512,0.42053013496658664
60,lfw_pairs,impersonation_attack,Facenet512,0.41121007809037236
2,celeba_pairs,impersonation_attack,Facenet512,0.32178302978364026
8,celeba_pairs,impersonation_attack,Facenet512,0.06530348244357399
12,celeba_pairs,impersonation_attack,Facenet512,0.2819075591806387
26,celeba_pairs,impersonation_attack,Facenet512,0.03717711856903936
34,celeba_pairs,impersonation_attack,Facenet512,0.35962133793998097
3,vggface2_pairs,impersonation_attack,Facenet512,0.14573409721781086
